@relation swd
@attribute in1 integer [1, 3]
@attribute in2 integer [1, 3]
@attribute in3 integer [1, 4]
@attribute in4 integer [1, 3]
@attribute in5 integer [1, 4]
@attribute in6 integer [1, 2]
@attribute in7 integer [1, 3]
@attribute in8 integer [1, 3]
@attribute in9 integer [1, 3]
@attribute in10 integer [1, 3]
@attribute out1{2,3,4,5}
@inputs in1, in2, in3, in4, in5, in6, in7, in8, in9, in10
@outputs out1
@data
2, 1, 1, 1, 1, 1, 1, 2, 2, 2, 3
2, 3, 2, 3, 3, 2, 1, 1, 2, 1, 3
2, 2, 4, 2, 2, 2, 2, 2, 3, 3, 5
2, 1, 3, 3, 4, 2, 2, 2, 3, 2, 4
2, 3, 3, 2, 2, 2, 1, 3, 2, 3, 5
1, 2, 2, 3, 1, 1, 1, 2, 2, 2, 4
2, 1, 1, 3, 3, 1, 2, 2, 2, 2, 3
1, 3, 3, 2, 2, 1, 2, 3, 2, 1, 4
1, 3, 2, 1, 2, 2, 1, 1, 2, 1, 2
1, 3, 2, 1, 2, 2, 1, 1, 2, 1, 3
2, 2, 1, 3, 2, 2, 1, 3, 1, 1, 3
1, 2, 1, 2, 1, 1, 1, 3, 1, 1, 3
1, 1, 2, 2, 1, 2, 1, 2, 2, 2, 3
2, 1, 3, 3, 4, 2, 2, 2, 3, 2, 3
2, 3, 2, 3, 3, 2, 1, 1, 2, 1, 3
2, 3, 3, 1, 1, 2, 1, 3, 2, 2, 4
2, 2, 4, 3, 2, 2, 2, 1, 3, 1, 4
2, 2, 3, 2, 4, 2, 2, 2, 2, 1, 5
2, 1, 2, 3, 2, 2, 2, 3, 3, 2, 5
1, 2, 4, 1, 3, 1, 1, 3, 2, 2, 4
1, 3, 4, 1, 4, 2, 1, 3, 1, 1, 4
3, 3, 3, 1, 4, 2, 2, 2, 2, 3, 5
1, 2, 1, 2, 2, 2, 2, 1, 1, 2, 2
2, 3, 2, 2, 2, 1, 3, 2, 2, 1, 4
1, 2, 1, 2, 1, 1, 1, 3, 1, 1, 3
3, 3, 2, 3, 2, 1, 2, 2, 2, 2, 4
2, 3, 2, 2, 2, 1, 3, 2, 2, 1, 3
2, 3, 4, 2, 2, 1, 3, 2, 3, 2, 4
1, 2, 4, 1, 3, 1, 1, 3, 2, 2, 4
2, 1, 2, 2, 3, 1, 2, 2, 3, 1, 4
2, 2, 2, 3, 2, 2, 2, 3, 1, 2, 4
1, 2, 2, 3, 3, 2, 2, 1, 1, 2, 5
3, 3, 2, 3, 2, 1, 2, 2, 2, 2, 4
2, 2, 2, 1, 3, 2, 2, 2, 3, 3, 5
2, 2, 1, 2, 3, 1, 1, 2, 3, 2, 3
1, 3, 1, 3, 2, 1, 1, 1, 3, 2, 4
3, 2, 4, 1, 2, 1, 3, 2, 2, 2, 5
1, 3, 1, 3, 1, 1, 1, 3, 2, 2, 3
2, 2, 4, 3, 2, 2, 2, 1, 3, 1, 4
2, 1, 1, 3, 2, 1, 2, 1, 1, 3, 4
1, 1, 1, 2, 1, 1, 3, 3, 1, 1, 3
1, 1, 2, 3, 3, 2, 2, 3, 1, 3, 5
2, 1, 1, 1, 2, 1, 1, 1, 1, 3, 3
3, 3, 3, 2, 4, 2, 2, 2, 3, 1, 5
3, 2, 3, 3, 1, 2, 3, 1, 2, 2, 3
1, 1, 2, 1, 1, 1, 2, 2, 1, 2, 4
2, 2, 1, 1, 3, 1, 1, 3, 1, 1, 3
3, 2, 3, 1, 1, 1, 1, 2, 3, 1, 3
3, 3, 4, 3, 3, 2, 2, 2, 3, 3, 5
1, 3, 2, 2, 1, 1, 1, 2, 3, 2, 4
2, 3, 3, 1, 1, 2, 1, 3, 2, 2, 4
2, 1, 2, 1, 4, 1, 2, 1, 2, 3, 5
2, 3, 3, 2, 3, 1, 3, 2, 2, 3, 4
1, 3, 1, 3, 1, 1, 1, 3, 2, 2, 3
1, 3, 1, 3, 2, 1, 1, 1, 3, 2, 3
2, 2, 4, 3, 3, 2, 3, 2, 3, 3, 5
2, 3, 2, 2, 2, 1, 3, 3, 1, 2, 3
3, 1, 1, 3, 2, 2, 3, 3, 1, 2, 3
1, 2, 1, 1, 4, 1, 1, 1, 2, 1, 3
3, 3, 2, 1, 2, 2, 3, 3, 3, 3, 5
2, 3, 3, 1, 1, 2, 1, 3, 2, 2, 4
2, 1, 1, 3, 1, 1, 3, 3, 3, 1, 3
3, 2, 1, 3, 3, 1, 1, 3, 3, 2, 4
2, 3, 2, 2, 2, 1, 3, 3, 1, 2, 4
2, 3, 3, 1, 1, 2, 1, 3, 2, 2, 4
3, 2, 2, 1, 2, 2, 2, 2, 1, 3, 5
2, 2, 1, 2, 3, 1, 2, 2, 2, 1, 3
1, 1, 1, 3, 1, 2, 1, 1, 2, 3, 2
2, 2, 2, 3, 2, 2, 2, 3, 1, 2, 4
3, 1, 1, 1, 3, 1, 2, 1, 2, 3, 4
2, 3, 2, 2, 2, 1, 3, 2, 2, 1, 4
3, 3, 4, 3, 2, 1, 3, 2, 3, 2, 5
3, 1, 1, 3, 2, 2, 3, 3, 1, 2, 4
3, 2, 4, 1, 2, 1, 3, 2, 2, 2, 4
2, 1, 1, 1, 2, 1, 1, 1, 2, 1, 2
1, 2, 2, 3, 3, 2, 2, 1, 1, 2, 4
1, 3, 3, 2, 4, 1, 1, 3, 3, 3, 5
3, 3, 1, 1, 4, 1, 2, 3, 3, 3, 4
2, 3, 3, 2, 3, 1, 3, 2, 2, 3, 4
1, 2, 2, 3, 3, 2, 2, 1, 1, 2, 4
2, 2, 2, 1, 3, 2, 2, 2, 3, 3, 4
3, 1, 1, 1, 3, 1, 2, 1, 2, 3, 2
3, 3, 3, 2, 4, 2, 2, 2, 3, 1, 5
1, 3, 1, 3, 2, 2, 1, 2, 1, 3, 3
2, 3, 4, 2, 2, 1, 3, 2, 3, 2, 5
3, 3, 4, 1, 4, 2, 3, 3, 3, 2, 4
3, 1, 1, 3, 2, 2, 3, 3, 1, 2, 3
1, 1, 1, 2, 1, 1, 3, 3, 1, 1, 3
2, 2, 3, 1, 1, 2, 2, 2, 1, 3, 3
3, 2, 3, 1, 1, 1, 1, 2, 3, 1, 3
2, 1, 2, 3, 2, 2, 2, 3, 3, 2, 4
1, 3, 4, 1, 3, 2, 3, 1, 1, 3, 4
2, 2, 1, 3, 2, 2, 1, 3, 1, 1, 3
1, 3, 1, 3, 1, 1, 1, 3, 2, 2, 3
2, 3, 4, 3, 2, 2, 2, 3, 3, 2, 4
3, 1, 2, 1, 3, 2, 2, 3, 2, 2, 4
1, 2, 4, 1, 3, 1, 1, 3, 2, 2, 4
2, 1, 1, 2, 2, 1, 2, 1, 1, 3, 3
2, 1, 3, 3, 4, 2, 2, 2, 3, 2, 4
1, 3, 1, 2, 3, 1, 2, 2, 2, 2, 3
3, 3, 2, 1, 2, 2, 3, 3, 3, 3, 3
2, 3, 3, 1, 1, 2, 1, 3, 2, 2, 4
1, 3, 4, 1, 3, 2, 3, 1, 1, 3, 4
1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2
3, 3, 3, 2, 4, 2, 2, 2, 3, 1, 4
1, 1, 2, 3, 3, 2, 2, 3, 1, 3, 4
1, 3, 2, 2, 1, 1, 1, 2, 3, 2, 3
1, 3, 1, 1, 1, 1, 1, 2, 3, 3, 2
2, 3, 3, 2, 3, 1, 3, 2, 2, 3, 4
3, 2, 2, 3, 2, 1, 1, 2, 3, 3, 4
3, 3, 4, 1, 4, 2, 3, 3, 3, 2, 4
2, 3, 4, 2, 2, 1, 3, 2, 3, 2, 4
3, 1, 1, 3, 3, 2, 2, 2, 3, 3, 5
2, 2, 3, 2, 2, 2, 2, 2, 2, 3, 4
2, 2, 3, 2, 2, 2, 2, 2, 2, 3, 5
3, 2, 2, 3, 1, 1, 3, 1, 3, 3, 4
1, 2, 2, 2, 2, 1, 3, 1, 2, 1, 4
1, 3, 3, 1, 4, 2, 1, 1, 2, 3, 3
3, 3, 4, 3, 4, 2, 3, 3, 3, 3, 4
2, 1, 3, 3, 2, 2, 3, 2, 2, 3, 5
3, 2, 2, 1, 1, 2, 3, 1, 1, 3, 2
2, 3, 1, 3, 4, 1, 2, 1, 2, 3, 3
3, 1, 1, 1, 3, 1, 2, 1, 2, 3, 4
2, 2, 4, 3, 3, 2, 3, 2, 3, 3, 5
3, 1, 1, 1, 3, 1, 2, 1, 2, 3, 3
2, 3, 2, 1, 2, 2, 2, 2, 2, 3, 4
1, 1, 2, 1, 1, 1, 2, 2, 1, 2, 3
2, 3, 3, 1, 1, 2, 1, 3, 2, 2, 3
2, 3, 2, 1, 2, 2, 2, 2, 2, 3, 5
2, 2, 3, 2, 4, 2, 2, 2, 2, 1, 4
3, 2, 3, 1, 1, 1, 1, 2, 3, 1, 4
1, 2, 2, 3, 3, 2, 2, 1, 1, 2, 5
3, 2, 1, 2, 3, 2, 1, 3, 1, 1, 4
1, 2, 1, 3, 1, 1, 1, 1, 3, 2, 3
2, 2, 3, 2, 4, 2, 2, 2, 2, 1, 4
1, 3, 4, 1, 3, 2, 3, 1, 1, 3, 4
1, 3, 1, 3, 2, 1, 1, 1, 3, 2, 3
1, 1, 1, 3, 1, 2, 1, 1, 2, 3, 3
2, 2, 3, 2, 4, 2, 2, 2, 2, 1, 4
3, 2, 4, 1, 2, 1, 3, 2, 2, 2, 5
3, 3, 2, 2, 2, 1, 2, 2, 2, 1, 4
2, 2, 1, 3, 3, 1, 3, 2, 1, 2, 3
1, 2, 2, 3, 3, 2, 2, 1, 1, 2, 3
2, 1, 1, 1, 2, 1, 1, 1, 2, 1, 3
2, 1, 3, 3, 4, 2, 2, 2, 3, 2, 5
1, 2, 1, 1, 4, 1, 1, 1, 2, 1, 3
1, 3, 4, 3, 3, 2, 2, 3, 1, 3, 4
2, 3, 2, 1, 2, 1, 2, 1, 2, 3, 4
3, 2, 2, 1, 2, 2, 2, 2, 1, 3, 3
1, 3, 1, 3, 2, 1, 1, 1, 3, 2, 3
2, 1, 1, 2, 1, 1, 2, 2, 1, 1, 3
1, 2, 2, 2, 2, 1, 3, 1, 2, 1, 3
1, 2, 2, 1, 1, 2, 1, 2, 1, 2, 3
3, 3, 3, 3, 3, 1, 1, 2, 3, 3, 4
1, 1, 2, 1, 1, 1, 2, 2, 1, 2, 3
3, 3, 4, 3, 3, 2, 2, 2, 3, 3, 5
2, 3, 2, 3, 3, 2, 1, 1, 2, 1, 3
1, 2, 4, 3, 1, 1, 3, 2, 2, 3, 4
2, 3, 4, 2, 2, 1, 3, 2, 3, 2, 4
3, 3, 4, 3, 3, 2, 2, 2, 3, 3, 5
2, 3, 4, 2, 4, 2, 2, 2, 1, 2, 5
2, 1, 2, 1, 4, 1, 2, 1, 2, 3, 5
3, 3, 2, 3, 4, 1, 2, 2, 3, 3, 5
2, 1, 3, 3, 2, 2, 3, 2, 2, 3, 4
3, 2, 3, 2, 2, 1, 2, 3, 3, 3, 5
1, 1, 2, 1, 1, 1, 2, 2, 1, 2, 3
2, 1, 1, 3, 1, 1, 3, 3, 3, 1, 3
1, 3, 2, 1, 2, 2, 1, 1, 2, 1, 4
3, 2, 2, 2, 4, 1, 3, 1, 2, 3, 4
1, 3, 4, 3, 3, 2, 2, 3, 1, 3, 5
1, 3, 1, 1, 1, 1, 1, 2, 3, 3, 3
1, 3, 3, 1, 4, 2, 1, 1, 2, 3, 5
3, 3, 4, 1, 4, 2, 3, 3, 3, 2, 5
3, 2, 2, 1, 2, 2, 2, 2, 1, 3, 5
3, 2, 1, 2, 3, 2, 1, 3, 1, 1, 4
2, 1, 1, 3, 2, 1, 2, 1, 1, 3, 3
2, 2, 2, 2, 2, 1, 2, 2, 2, 1, 3
3, 3, 2, 3, 2, 1, 2, 2, 2, 2, 4
2, 3, 3, 1, 1, 2, 1, 3, 2, 2, 3
1, 2, 2, 1, 1, 2, 1, 2, 1, 2, 3
2, 1, 1, 3, 3, 1, 2, 2, 2, 2, 3
1, 3, 1, 1, 1, 1, 1, 2, 3, 3, 4
1, 2, 1, 3, 1, 1, 1, 1, 3, 2, 3
3, 2, 2, 3, 2, 1, 1, 2, 3, 3, 4
3, 2, 4, 1, 2, 1, 3, 2, 2, 2, 5
3, 2, 1, 1, 2, 1, 2, 2, 1, 3, 3
3, 1, 2, 1, 3, 2, 2, 3, 2, 2, 4
1, 1, 1, 3, 1, 2, 1, 1, 2, 3, 3
3, 3, 2, 3, 2, 1, 2, 2, 2, 2, 3
1, 2, 1, 2, 2, 2, 2, 1, 1, 2, 3
2, 2, 1, 2, 3, 1, 2, 2, 2, 1, 4
1, 3, 3, 2, 2, 2, 2, 1, 3, 1, 5
2, 3, 4, 2, 4, 2, 2, 2, 1, 2, 4
1, 2, 2, 1, 1, 2, 1, 2, 1, 2, 3
2, 3, 4, 2, 2, 1, 3, 2, 3, 2, 4
3, 3, 3, 3, 3, 1, 1, 2, 3, 3, 5
3, 3, 2, 2, 2, 1, 2, 2, 2, 1, 4
2, 1, 1, 3, 1, 1, 3, 3, 3, 1, 3
1, 2, 2, 3, 3, 2, 2, 1, 1, 2, 3
2, 3, 4, 2, 4, 2, 2, 2, 1, 2, 4
3, 3, 3, 2, 1, 1, 2, 2, 3, 2, 4
2, 1, 1, 1, 1, 1, 1, 2, 2, 2, 3
1, 1, 2, 2, 1, 2, 1, 2, 2, 2, 4
3, 2, 1, 3, 3, 1, 1, 3, 3, 2, 3
1, 2, 4, 3, 1, 1, 3, 2, 2, 3, 5
2, 3, 3, 1, 1, 2, 3, 2, 1, 1, 3
3, 2, 4, 1, 2, 1, 3, 2, 2, 2, 3
2, 2, 3, 1, 1, 2, 2, 2, 1, 3, 4
1, 3, 2, 2, 1, 1, 1, 2, 3, 2, 4
1, 2, 2, 1, 1, 2, 1, 2, 1, 2, 4
2, 3, 4, 1, 3, 2, 2, 1, 2, 2, 4
1, 3, 3, 2, 4, 1, 1, 3, 3, 3, 4
3, 3, 4, 3, 2, 1, 3, 2, 3, 2, 4
2, 2, 1, 2, 3, 1, 1, 2, 3, 2, 3
3, 1, 2, 1, 3, 2, 2, 3, 2, 2, 4
2, 3, 2, 1, 2, 1, 2, 1, 2, 3, 4
2, 2, 1, 1, 3, 1, 1, 1, 1, 1, 4
1, 2, 3, 3, 2, 1, 3, 1, 3, 3, 5
3, 3, 4, 3, 4, 2, 3, 3, 3, 3, 5
1, 1, 2, 2, 1, 2, 1, 2, 2, 2, 3
1, 3, 4, 1, 4, 2, 1, 3, 1, 1, 4
2, 2, 2, 1, 3, 2, 2, 2, 3, 3, 5
1, 1, 2, 1, 1, 1, 2, 2, 1, 2, 4
1, 2, 1, 3, 1, 1, 1, 1, 3, 2, 3
2, 3, 3, 2, 2, 2, 3, 2, 3, 3, 4
2, 3, 2, 2, 2, 1, 3, 3, 1, 2, 4
2, 2, 4, 2, 2, 2, 2, 2, 3, 3, 5
2, 2, 1, 2, 3, 1, 2, 2, 2, 1, 3
3, 1, 1, 3, 3, 2, 2, 2, 3, 3, 5
3, 3, 2, 3, 4, 1, 2, 2, 3, 3, 5
2, 2, 4, 3, 3, 2, 3, 2, 3, 3, 5
1, 2, 3, 3, 2, 1, 3, 1, 3, 3, 3
2, 3, 3, 1, 1, 2, 3, 2, 1, 1, 3
2, 1, 2, 2, 3, 1, 2, 2, 3, 1, 3
1, 3, 3, 2, 4, 1, 1, 3, 3, 3, 4
1, 2, 1, 2, 1, 1, 1, 3, 1, 1, 3
2, 1, 2, 3, 2, 2, 2, 3, 3, 2, 4
2, 1, 3, 3, 2, 2, 3, 2, 2, 3, 4
3, 3, 2, 3, 4, 1, 2, 2, 3, 3, 5
2, 1, 2, 3, 2, 2, 2, 3, 3, 2, 3
3, 2, 2, 3, 2, 1, 1, 2, 3, 3, 5
1, 2, 1, 3, 1, 1, 1, 1, 3, 2, 3
2, 2, 4, 2, 2, 2, 2, 2, 3, 3, 5
1, 2, 1, 2, 2, 2, 2, 1, 1, 2, 4
2, 3, 3, 2, 3, 1, 3, 2, 2, 3, 3
1, 3, 3, 1, 4, 2, 1, 1, 2, 3, 3
3, 2, 3, 2, 2, 1, 2, 3, 3, 3, 5
3, 2, 3, 1, 1, 1, 1, 2, 3, 1, 4
1, 2, 1, 2, 2, 2, 2, 1, 1, 2, 3
3, 3, 4, 3, 4, 1, 3, 2, 3, 3, 5
2, 3, 2, 1, 2, 2, 2, 2, 2, 3, 4
1, 3, 1, 2, 3, 1, 2, 2, 2, 2, 4
3, 3, 4, 3, 2, 1, 3, 2, 3, 2, 5
2, 2, 4, 3, 3, 2, 3, 2, 3, 3, 5
2, 2, 1, 1, 3, 1, 1, 3, 1, 1, 3
2, 1, 2, 2, 3, 1, 2, 2, 3, 1, 5
3, 3, 4, 1, 4, 2, 3, 3, 3, 2, 5
3, 2, 2, 3, 2, 1, 1, 2, 3, 3, 4
2, 1, 1, 2, 2, 1, 2, 1, 1, 3, 3
3, 2, 1, 2, 3, 2, 1, 3, 1, 1, 3
3, 3, 4, 3, 4, 1, 3, 2, 3, 3, 5
1, 3, 4, 1, 3, 2, 3, 1, 1, 3, 5
2, 2, 1, 3, 3, 1, 3, 2, 1, 2, 3
3, 3, 3, 2, 1, 1, 3, 3, 1, 1, 4
1, 3, 1, 3, 2, 2, 1, 2, 1, 3, 3
3, 1, 1, 3, 3, 2, 2, 2, 3, 3, 3
1, 3, 3, 1, 2, 1, 2, 2, 2, 3, 5
1, 3, 4, 1, 3, 2, 3, 1, 1, 3, 4
2, 1, 1, 3, 2, 1, 2, 1, 1, 3, 2
1, 1, 1, 2, 1, 1, 3, 3, 1, 1, 3
2, 2, 1, 2, 3, 1, 1, 2, 3, 2, 4
1, 3, 1, 3, 1, 1, 1, 3, 2, 2, 4
2, 3, 3, 1, 1, 2, 1, 3, 2, 2, 4
3, 3, 4, 3, 2, 1, 3, 2, 3, 2, 5
2, 1, 1, 2, 1, 1, 2, 2, 1, 1, 3
3, 1, 1, 3, 2, 2, 3, 3, 1, 2, 4
3, 3, 2, 2, 2, 1, 2, 2, 2, 1, 4
3, 1, 1, 3, 2, 2, 3, 3, 1, 2, 3
1, 2, 4, 3, 1, 1, 3, 2, 2, 3, 5
3, 3, 2, 3, 4, 2, 2, 3, 2, 3, 5
3, 3, 2, 3, 4, 1, 2, 2, 3, 3, 5
2, 3, 4, 1, 3, 2, 2, 1, 2, 2, 5
2, 1, 1, 1, 2, 1, 1, 1, 1, 3, 3
2, 2, 2, 1, 4, 2, 1, 3, 1, 2, 4
2, 3, 4, 1, 3, 2, 2, 1, 2, 2, 5
3, 1, 1, 1, 3, 1, 2, 1, 2, 3, 3
3, 2, 3, 3, 1, 2, 3, 1, 2, 2, 3
2, 1, 2, 1, 4, 1, 2, 1, 2, 3, 4
3, 2, 3, 3, 1, 2, 3, 1, 2, 2, 4
2, 2, 3, 2, 2, 2, 2, 2, 2, 3, 3
2, 1, 2, 1, 4, 1, 2, 1, 2, 3, 4
1, 1, 2, 2, 1, 2, 1, 2, 2, 2, 3
1, 3, 1, 3, 1, 1, 1, 3, 2, 2, 3
2, 3, 2, 2, 2, 1, 3, 3, 1, 2, 4
1, 3, 3, 2, 2, 2, 2, 1, 3, 1, 4
3, 3, 1, 1, 4, 1, 2, 3, 3, 3, 4
1, 3, 1, 2, 3, 1, 2, 2, 2, 2, 3
3, 2, 2, 3, 1, 1, 3, 1, 3, 3, 5
2, 2, 3, 2, 4, 2, 2, 2, 2, 1, 3
1, 2, 3, 3, 2, 1, 3, 1, 3, 3, 4
2, 3, 3, 2, 4, 1, 3, 2, 3, 1, 3
2, 2, 4, 3, 3, 2, 3, 2, 3, 3, 5
1, 1, 2, 1, 1, 1, 2, 2, 1, 2, 3
2, 1, 1, 3, 1, 1, 3, 3, 3, 1, 3
2, 1, 3, 3, 2, 2, 3, 2, 2, 3, 4
2, 2, 2, 1, 3, 2, 2, 2, 3, 3, 4
2, 3, 2, 1, 2, 2, 2, 2, 2, 3, 4
3, 3, 4, 1, 4, 2, 3, 3, 3, 2, 5
3, 3, 4, 1, 4, 2, 3, 3, 3, 2, 5
3, 2, 1, 3, 3, 1, 1, 3, 3, 2, 4
1, 1, 2, 1, 1, 1, 2, 2, 1, 2, 3
1, 2, 1, 2, 2, 2, 2, 1, 1, 2, 4
3, 2, 1, 2, 3, 2, 1, 3, 1, 1, 4
2, 2, 1, 3, 2, 2, 1, 3, 1, 1, 4
2, 1, 3, 3, 4, 2, 2, 2, 3, 2, 4
1, 3, 4, 1, 3, 2, 3, 1, 1, 3, 4
3, 2, 2, 1, 1, 2, 3, 1, 1, 3, 4
2, 3, 2, 2, 2, 1, 3, 2, 2, 1, 4
2, 2, 1, 2, 3, 1, 1, 2, 3, 2, 4
3, 3, 2, 3, 2, 1, 2, 2, 2, 2, 3
2, 3, 1, 3, 4, 1, 2, 1, 2, 3, 4
3, 2, 2, 3, 1, 1, 3, 1, 3, 3, 3
2, 1, 1, 2, 1, 1, 2, 2, 1, 1, 3
1, 2, 1, 3, 1, 1, 1, 1, 3, 2, 3
1, 3, 2, 1, 2, 2, 1, 1, 2, 1, 3
3, 3, 3, 1, 4, 2, 2, 2, 2, 3, 4
2, 1, 1, 3, 3, 1, 2, 2, 2, 2, 3
3, 2, 2, 3, 2, 1, 1, 2, 3, 3, 5
3, 3, 1, 1, 4, 1, 2, 3, 3, 3, 5
3, 3, 4, 3, 4, 1, 3, 2, 3, 3, 5
2, 2, 1, 3, 2, 2, 1, 3, 1, 1, 4
2, 2, 1, 1, 1, 2, 2, 3, 1, 1, 3
3, 2, 1, 1, 2, 1, 2, 2, 1, 3, 3
1, 3, 1, 3, 1, 1, 1, 3, 2, 2, 3
2, 2, 3, 1, 1, 2, 2, 2, 1, 3, 4
2, 2, 1, 1, 3, 1, 1, 3, 1, 1, 3
3, 2, 4, 1, 2, 1, 3, 2, 2, 2, 4
2, 3, 1, 3, 4, 1, 2, 1, 2, 3, 4
2, 2, 1, 3, 3, 1, 3, 2, 1, 2, 3
2, 3, 2, 1, 2, 2, 2, 2, 2, 3, 3
1, 2, 4, 1, 3, 1, 1, 3, 2, 2, 4
1, 3, 1, 3, 2, 1, 1, 1, 3, 2, 4
3, 3, 3, 2, 1, 1, 3, 3, 1, 1, 3
2, 3, 2, 1, 2, 2, 2, 2, 2, 3, 4
2, 1, 1, 3, 3, 1, 2, 2, 2, 2, 3
2, 3, 2, 1, 2, 1, 2, 1, 2, 3, 4
3, 2, 3, 3, 1, 2, 3, 1, 2, 2, 4
1, 1, 2, 3, 3, 2, 2, 3, 1, 3, 4
2, 3, 2, 2, 2, 1, 3, 3, 1, 2, 4
2, 1, 1, 3, 3, 1, 2, 2, 2, 2, 3
2, 1, 3, 3, 2, 2, 3, 2, 2, 3, 4
2, 2, 3, 2, 2, 2, 2, 2, 2, 3, 5
